,item_id,item_feature_0,item_feature_1,item_feature_2,item_feature_3
0,0,-0.3701057045375884,37784fea97b5827eeaf4a23dbff98b73,5e886301a0b2b816d35a1209d156acdd,2951c610187f9e9e8281ecd31a156bd1
1,1,0.5251956676347125,3220392a73f0fb73e5509a3f6b89ae64,d746b3324d88d353b5e1b82780f4d180,680f9d18b8f0ffa4633d41a7738c3c57
2,2,-0.13450008028171972,1f0bd59babc615f7876d70abd81b0703,5e886301a0b2b816d35a1209d156acdd,2951c610187f9e9e8281ecd31a156bd1
3,3,-0.5350296415166964,37784fea97b5827eeaf4a23dbff98b73,30e4f82eec0c5210c403aab8007a5881,2951c610187f9e9e8281ecd31a156bd1
4,4,-0.25230289240965403,3220392a73f0fb73e5509a3f6b89ae64,e1f84cd2715873f04359fb55b370f328,9ef568e90bed3b76bc560e33435f7c1d
5,5,0.03042385669738834,3220392a73f0fb73e5509a3f6b89ae64,e1f84cd2715873f04359fb55b370f328,9ef568e90bed3b76bc560e33435f7c1d
6,6,-0.13450008028171972,3220392a73f0fb73e5509a3f6b89ae64,e1f84cd2715873f04359fb55b370f328,9ef568e90bed3b76bc560e33435f7c1d
7,7,-0.8436730092918844,54130721ea2331736ec3cd62c6ff2a0a,92b8c61a1a556299172a5705f5a927db,360f242a6660cf5ee5249dc3c197fe62
8,8,-0.8436730092918844,54130721ea2331736ec3cd62c6ff2a0a,92b8c61a1a556299172a5705f5a927db,360f242a6660cf5ee5249dc3c197fe62
9,9,-0.6080673850360158,54130721ea2331736ec3cd62c6ff2a0a,d746b3324d88d353b5e1b82780f4d180,680f9d18b8f0ffa4633d41a7738c3c57
10,10,-0.6080673850360158,54130721ea2331736ec3cd62c6ff2a0a,d746b3324d88d353b5e1b82780f4d180,680f9d18b8f0ffa4633d41a7738c3c57
11,11,0.36027173065560447,e88594e2095dc09c70763bd14b6bb16e,5e886301a0b2b816d35a1209d156acdd,2951c610187f9e9e8281ecd31a156bd1
12,12,0.36027173065560447,e88594e2095dc09c70763bd14b6bb16e,e1f84cd2715873f04359fb55b370f328,9ef568e90bed3b76bc560e33435f7c1d
13,13,2.9990547223213335,37784fea97b5827eeaf4a23dbff98b73,cedae94e7ca42bac679afaf582fda539,e6dceba864edcc7bf60d38616a52a13d
14,14,1.3498153525302528,1f0bd59babc615f7876d70abd81b0703,cedae94e7ca42bac679afaf582fda539,e6dceba864edcc7bf60d38616a52a13d
15,15,-0.25230289240965403,3220392a73f0fb73e5509a3f6b89ae64,e1f84cd2715873f04359fb55b370f328,9ef568e90bed3b76bc560e33435f7c1d
16,16,0.6901196046138206,1f0bd59babc615f7876d70abd81b0703,40b2c280a2676cf7e83a2c19a333d4a2,7ce347fef632da56f7d0cd2e3d96c9d2
17,17,2.339358974404901,1f0bd59babc615f7876d70abd81b0703,5e32ca87b332cb657386052c2962f06f,e6dceba864edcc7bf60d38616a52a13d
18,18,-0.39366626696317525,3220392a73f0fb73e5509a3f6b89ae64,c72dd70c97975aad5865c138b5c3c501,360f242a6660cf5ee5249dc3c197fe62
19,19,-0.8648775154749125,37784fea97b5827eeaf4a23dbff98b73,c72dd70c97975aad5865c138b5c3c501,360f242a6660cf5ee5249dc3c197fe62
