,item_id,item_feature_0,item_feature_1,item_feature_2,item_feature_3
0,0,-0.3701057045375884,01a0a328db2dd2a2e8d91bc43f204ba7,e0b3b6a06ee21c261d6937e51fef2f47,6476528092c639c0ea8f74062f3dd1bb
1,1,0.5251956676347125,dd868ca2c498f3384250f431e7767b34,5eb5c6e65b24468fef997e461cb97425,0d1d6660a28b567ddedbaa991a056feb
2,2,-0.13450008028171972,252326b1475c78b26365ebc3430adca2,e0b3b6a06ee21c261d6937e51fef2f47,6476528092c639c0ea8f74062f3dd1bb
3,3,-0.5350296415166964,01a0a328db2dd2a2e8d91bc43f204ba7,d549c11ab8eb14045de2100d6ab90c86,6476528092c639c0ea8f74062f3dd1bb
4,4,-0.25230289240965403,dd868ca2c498f3384250f431e7767b34,8378abb75da7f75587cb8cd4b687c929,82f96bb81ce9feeb0c973d24adccc347
5,5,0.03042385669738834,dd868ca2c498f3384250f431e7767b34,8378abb75da7f75587cb8cd4b687c929,82f96bb81ce9feeb0c973d24adccc347
6,6,-0.13450008028171972,dd868ca2c498f3384250f431e7767b34,8378abb75da7f75587cb8cd4b687c929,82f96bb81ce9feeb0c973d24adccc347
7,7,-0.8436730092918844,2f872b67f01f5f2f85b24eb87e99d52c,9f43744cf9ae18357d9da7e6b130d3ea,465917095d1b8b7359e781ee782c2c26
8,8,-0.8436730092918844,2f872b67f01f5f2f85b24eb87e99d52c,9f43744cf9ae18357d9da7e6b130d3ea,465917095d1b8b7359e781ee782c2c26
9,9,-0.6080673850360158,2f872b67f01f5f2f85b24eb87e99d52c,5eb5c6e65b24468fef997e461cb97425,0d1d6660a28b567ddedbaa991a056feb
10,10,-0.6080673850360158,2f872b67f01f5f2f85b24eb87e99d52c,5eb5c6e65b24468fef997e461cb97425,0d1d6660a28b567ddedbaa991a056feb
11,11,0.36027173065560447,ef42bd4fa577ce60a5b82b6781a08c64,e0b3b6a06ee21c261d6937e51fef2f47,6476528092c639c0ea8f74062f3dd1bb
12,12,0.36027173065560447,ef42bd4fa577ce60a5b82b6781a08c64,8378abb75da7f75587cb8cd4b687c929,82f96bb81ce9feeb0c973d24adccc347
13,13,2.9990547223213335,01a0a328db2dd2a2e8d91bc43f204ba7,ae34b8819f09a1df5bc36a3ebb2ca7c1,75b8605bfcb7433d5bd178b3a0a2d38c
14,14,1.3498153525302528,252326b1475c78b26365ebc3430adca2,ae34b8819f09a1df5bc36a3ebb2ca7c1,75b8605bfcb7433d5bd178b3a0a2d38c
15,15,-0.25230289240965403,dd868ca2c498f3384250f431e7767b34,8378abb75da7f75587cb8cd4b687c929,82f96bb81ce9feeb0c973d24adccc347
16,16,0.6901196046138206,252326b1475c78b26365ebc3430adca2,0409e7011c80bccc0ff6442a03d05b29,c395d5f54cf50e223953258801be2697
17,17,2.339358974404901,252326b1475c78b26365ebc3430adca2,836017345da8a6725b8eed235c5ec3d0,75b8605bfcb7433d5bd178b3a0a2d38c
18,18,-0.39366626696317525,dd868ca2c498f3384250f431e7767b34,d34d1f81e32b9e570fab69c523409c8d,465917095d1b8b7359e781ee782c2c26
19,19,-0.8648775154749125,01a0a328db2dd2a2e8d91bc43f204ba7,d34d1f81e32b9e570fab69c523409c8d,465917095d1b8b7359e781ee782c2c26
20,20,0.8550435415929286,ef42bd4fa577ce60a5b82b6781a08c64,d34d1f81e32b9e570fab69c523409c8d,465917095d1b8b7359e781ee782c2c26
21,21,-0.6292718912190439,252326b1475c78b26365ebc3430adca2,d34d1f81e32b9e570fab69c523409c8d,465917095d1b8b7359e781ee782c2c26
22,22,0.8550435415929286,ef42bd4fa577ce60a5b82b6781a08c64,5eb5c6e65b24468fef997e461cb97425,0d1d6660a28b567ddedbaa991a056feb
23,23,-0.2994240172608278,01a0a328db2dd2a2e8d91bc43f204ba7,5eb5c6e65b24468fef997e461cb97425,0d1d6660a28b567ddedbaa991a056feb
24,24,-0.7235141409213913,dd868ca2c498f3384250f431e7767b34,e82eb366fa5e481c13b09c24eeeb036d,465917095d1b8b7359e781ee782c2c26
25,25,-0.95911976517726,4c508776e494a9f4bc302b34fdc6e76e,e82eb366fa5e481c13b09c24eeeb036d,465917095d1b8b7359e781ee782c2c26
26,26,-0.6292718912190439,4c508776e494a9f4bc302b34fdc6e76e,683522ca22eaee449c5ac25c2a84ee52,465917095d1b8b7359e781ee782c2c26
27,27,-0.6292718912190439,4c508776e494a9f4bc302b34fdc6e76e,5eb5c6e65b24468fef997e461cb97425,0d1d6660a28b567ddedbaa991a056feb
28,28,0.3367111682300176,de083a9403b58424cb3834909131a6de,9f43744cf9ae18357d9da7e6b130d3ea,465917095d1b8b7359e781ee782c2c26
29,29,-0.2994240172608278,4c508776e494a9f4bc302b34fdc6e76e,e98a5a6ce8eca89f5d9084dee8079f60,465917095d1b8b7359e781ee782c2c26
30,30,-0.2994240172608278,4c508776e494a9f4bc302b34fdc6e76e,e0b3b6a06ee21c261d6937e51fef2f47,6476528092c639c0ea8f74062f3dd1bb
31,31,-0.2994240172608278,4c508776e494a9f4bc302b34fdc6e76e,e98a5a6ce8eca89f5d9084dee8079f60,465917095d1b8b7359e781ee782c2c26
